,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
37,SAM,Adagrad,Adagrad,99.94999694824219,82.83999633789062,0.00154585911707534,0.8315471827983856,17.110000610351562,200.0,21356.036964037514,ComplexBatch
38,standard,PHB 0.01 0.8,PHB,100.0,85.73999786376953,1.9059246297471067e-05,0.9571759045124054,14.260002136230469,200.0,70827.89360385861,ComplexBatch
39,SAM,PHB 0.01 0.8,PHB,99.86799621582031,87.2699966430664,0.0029231899549890293,0.6799867630004883,12.597999572753906,200.0,12374.746222151309,ComplexBatch
40,SAM,AdaShift 0.01,AdaShift,99.89399719238281,85.69999694824219,0.003142800058341668,1.2987351059913634,14.194000244140625,200.0,30077.712984004607,ComplexBatch
41,standard,SGD 0.1,SGD,99.69400024414062,84.98999786376953,0.008733000272572043,0.8178841710090637,14.704002380371094,converged,33989.4503539302,ComplexBatch
42,standard,Adam,Adam,99.76799774169922,86.29000091552734,0.008549237010561577,1.4419572710990907,13.477996826171875,converged,97314.88774667791,ComplexBatch
43,standard,Adagrad,Adagrad,99.88800048828125,79.5199966430664,0.009620243723354186,0.959188449382782,20.368003845214844,converged,130116.13580226581,ComplexBatch
44,SAM,SGD 0.1,SGD,99.63399505615234,86.93000030517578,0.009987940024712559,0.6309028089046478,12.703994750976562,converged,11037.86459815338,ComplexBatch
45,SAM,AdaBound,AdaBound,99.65599822998047,86.68999481201172,0.009844509637593042,0.7252684354782104,12.96600341796875,converged,10506.681242651675,ComplexBatch
46,SAM,Adam,Adam,99.65799713134766,86.22999572753906,0.009911199737436382,0.9372292220592499,13.428001403808594,converged,13087.769634570215,ComplexBatch
47,standard,AdaBound,AdaBound,99.70999908447266,84.81999969482422,0.00914733763181252,0.9135359168052674,14.889999389648438,converged,34710.0099323968,ComplexBatch
48,standard,AdaShift 0.01,AdaShift,99.79199981689453,84.6500015258789,0.005883784791025336,1.0567616045475006,15.141998291015625,converged,70562.84890043072,ComplexBatch
49,SAM,Adagrad,Adagrad,99.6719970703125,81.88999938964844,0.009955782975639453,0.7604919910430908,17.781997680664062,converged,21621.533720146905,ComplexBatch
50,standard,PHB 0.01 0.8,PHB,99.70600128173828,84.20999908447266,0.009122562225964016,0.7849219739437103,15.496002197265625,converged,53154.37335428547,ComplexBatch
51,SAM,PHB 0.01 0.8,PHB,99.65999603271484,87.06999969482422,0.009192310537144904,0.5738409519195556,12.589996337890625,converged,10709.560744561548,ComplexBatch
52,SAM,AdaShift 0.01,AdaShift,99.5979995727539,85.63999938964844,0.00951913907118213,0.8144060015678406,13.958000183105469,converged,17763.996495338044,ComplexBatch
